Mine Portal;Level;Orebody Thickness;Stope Surface;Surface Dip;Height;Span;Length;HR;Q';A;B;C;N';Status
PAB;2000;11.9;Back;90;30;11.9;20;3.7;4.7;1;1;1;4.7;Unstable
PAB;2000;11.9;VerticalEnd;90;30;11.9;30;4.3;4.7;1;1;8;37.6;Stable
PAB;2000;11.9;HangingWall;90;30;20;30;6;1.5;1;0.5;8;6;Unstable
PAB;2000;11.9;FootWall;90;30;20;30;6;4.7;1;0.8;8;30.1;Stable
PAB;2000;22.3;Back;90;30;22.3;43;7.3;4.7;1;1;1;4.7;Unstable
PAB;2000;22.3;VerticalEnd;90;30;22.3;30;6.4;4.7;1;1;8;37.6;Stable
PAB;2000;22.3;HangingWall;90;30;30;43;8.8;1.5;1;0.5;8;6;Caved
PAB;2000;22.3;FootWall;90;30;30;43;8.8;4.7;1;0.8;8;30.1;Unstable
PAB;2000;10;Back;90;30;10;20;3.3;4.7;1;1;1;4.7;Stable
PAB;2000;10;VerticalEnd;90;30;10;30;3.8;4.7;1;1;8;37.6;Stable
PAB;2000;10;HangingWall;90;30;20;30;6;1.5;1;0.5;8;6;Unstable
PAB;2000;10;FootWall;90;30;20;30;6;4.7;1;0.8;8;30.1;Stable
PAB;2000;27;Back;90;30;27;26;6.6;4.7;1;1;1;4.7;Unstable
PAB;2000;27;VerticalEnd;90;30;27;30;7.1;4.7;1;1;8;37.6;Stable
PAB;2000;27;HangingWall;90;30;26;30;7;1.5;1;0.5;8;6;Unstable
PAB;2000;27;FootWall;90;30;26;30;7;4.7;1;0.8;8;30.1;Stable
PAB;2000;9.2;Back;90;30;9.2;20;3.2;4.7;1;1;1;4.7;Stable
PAB;2000;9.2;VerticalEnd;90;30;9.2;30;3.5;4.7;1;1;8;37.6;Stable
PAB;2000;9.2;HangingWall;90;30;20;30;6;1.5;1;0.5;8;6;Unstable
PAB;2000;9.2;FootWall;90;30;20;30;6;4.7;1;0.8;8;30.1;Stable
PAB;2000;6.4;Back;90;30;6.4;43;2.8;4.7;1;1;1;4.7;Stable
PAB;2000;6.4;VerticalEnd;90;30;6.4;30;2.6;4.7;1;1;8;37.6;Stable
PAB;2000;6.4;HangingWall;90;30;30;43;8.8;1.5;1;0.5;8;6;Caved
PAB;2000;6.4;FootWall;90;30;30;43;8.8;4.7;1;0.8;8;30.1;Unstable
PAB;2000;5.2;Back;90;30;5.2;38;2.3;4.7;1;1;1;4.7;Stable
PAB;2000;5.2;VerticalEnd;90;30;5.2;30;2.2;4.7;1;1;8;37.6;Stable
PAB;2000;5.2;HangingWall;90;30;30;38;8.4;0.2;1;0.5;8;0.8;Caved
PAB;2000;5.2;FootWall;90;30;30;38;8.4;4.7;1;0.8;8;30.1;Unstable
PAB;2000;6;Back;90;30;6;85;2.8;4.7;1;1;1;4.7;Stable
PAB;2000;6;VerticalEnd;90;30;6;30;2.5;4.7;1;1;8;37.6;Stable
PAB;2000;6;HangingWall;90;30;30;85;11.1;0.1;1;0.5;8;0.4;Caved
PAB;2000;6;FootWall;90;30;30;85;11.1;4.7;1;0.8;8;30.1;Unstable
PAB;2025;6.2;Back;90;30;6.2;30.2;2.6;4.7;1;1;1;4.7;Stable
PAB;2025;6.2;VerticalEnd;90;30;6.2;22;2.4;4.7;1;1;8;37.6;Stable
PAB;2025;6.2;HangingWall;90;30;22;30.2;6.4;1.5;1;0.5;8;6;Unstable
PAB;2025;6.2;FootWall;90;30;22;30.2;6.4;4.7;1;0.8;8;30.1;Stable
PAB;2025;6.6;Back;90;30;6.6;20;2.5;4.7;1;1;1;4.7;Stable
PAB;2025;6.6;VerticalEnd;90;30;6.6;30;2.7;4.7;1;1;8;37.6;Stable
PAB;2025;6.6;HangingWall;90;30;20;30;6;2.7;1;0.5;8;10.8;Unstable
PAB;2025;6.6;FootWall;90;30;20;30;6;4.7;1;0.8;8;30.1;Stable
PAB;2025;13;Back;90;30;13;10;2.8;4.7;1;1;1;4.7;Stable
PAB;2025;13;VerticalEnd;90;30;13;30;4.5;4.7;1;1;8;37.6;Stable
PAB;2025;13;HangingWall;90;30;10;30;3.8;2.7;1;0.5;8;10.8;Stable
PAB;2025;13;FootWall;90;30;10;30;3.8;4.7;1;0.8;8;30.1;Stable
PAB;2025;19;Back;90;30;19;46;6.7;4.7;1;1;1;4.7;Unstable
PAB;2025;19;VerticalEnd;90;30;19;30;5.8;4.7;1;1;8;37.6;Stable
PAB;2025;19;HangingWall;90;30;30;46;9.1;2.7;1;0.5;8;10.8;Unstable
PAB;2025;19;FootWall;90;30;30;46;9.1;4.7;1;0.8;8;30.1;Unstable
PAB;2025;7.2;Back;90;60;7.2;60;3.2;4.7;1;1;1;4.7;Stable
PAB;2025;7.2;VerticalEnd;90;60;7.2;61;3.2;4.7;1;1;8;37.6;Stable
PAB;2025;7.2;HangingWall;90;60;61;35;11.1;1.5;1;0.5;8;6;Caved
PAB;2025;7.2;FootWall;90;60;61;35;11.1;2.7;1;0.8;8;17.3;Caved
PAB;2025;8.1;Back;90;60;8.1;43;3.4;4.7;1;1;1;4.7;Stable
PAB;2025;8.1;VerticalEnd;90;60;8.1;60;3.6;4.7;1;1;8;37.6;Stable
PAB;2025;8.1;HangingWall;90;60;61;43;12.6;1.5;1;0.5;8;6;Caved
PAB;2025;8.1;FootWall;90;60;61;43;12.6;2.7;1;0.8;8;17.3;Caved
PAB;2025;7;Back;90;60;7;83;3.2;4.7;1;1;1;4.7;Unstable
PAB;2025;7;VerticalEnd;90;60;7;60;3.1;4.7;1;1;8;37.6;Stable
PAB;2025;7;HangingWall;90;60;61;83;17.6;1.5;1;0.5;8;6;Caved
PAB;2025;7;FootWall;90;60;61;83;17.6;2.7;1;0.8;8;17.3;Caved
PAB;2050;9.5;Back;90;30;9.5;30;3.6;4.7;1;1;1;4.7;Stable
PAB;2050;9.5;VerticalEnd;90;30;9.5;30;3.6;4.7;1;1;8;37.6;Stable
PAB;2050;9.5;HangingWall;90;30;30;20;6;1.5;1;0.5;8;6;Unstable
PAB;2050;9.5;FootWall;90;30;30;20;6;2.7;1;0.8;8;17.3;Stable
PAB;2050;6.6;Back;90;30;6.6;20;2.5;4.7;1;1;1;4.7;Stable
PAB;2050;6.6;VerticalEnd;90;30;6.6;30;2.7;4.7;1;1;8;37.6;Stable
PAB;2050;6.6;HangingWall;90;30;30;20;6;2.7;1;0.5;8;10.8;Unstable
PAB;2050;6.6;FootWall;90;30;30;20;6;4.7;1;0.8;8;30.1;Stable
PAB;2050;5.6;Back;90;30;5.6;30;2.4;4.7;1;1;1;4.7;Stable
PAB;2050;5.6;VerticalEnd;90;30;5.6;30;2.4;4.7;1;1;8;37.6;Stable
PAB;2050;5.6;HangingWall;90;30;30;30;7.5;2.7;1;0.5;8;10.8;Unstable
PAB;2050;5.6;FootWall;90;30;30;30;7.5;4.7;1;0.8;8;30.1;Stable
PAB;2100;9.3;Back;90;30;9.3;43;3.8;4.7;1;1;1;4.7;Stable
PAB;2100;9.3;VerticalEnd;90;30;9.3;30;3.6;4.7;1;1;8;37.6;Stable
PAB;2100;9.3;HangingWall;90;30;30;43;8.8;2.7;1;0.5;8;10.8;Unstable
PAB;2100;9.3;FootWall;90;30;30;43;8.8;4.7;1;0.8;8;30.1;Unstable
PAB;2100;12;Back;90;30;12;35;4.5;4.7;1;1;1;4.7;Unstable
PAB;2100;12;VerticalEnd;90;30;12;30;4.3;4.7;1;1;8;37.6;Stable
PAB;2100;12;HangingWall;90;30;30;35;8.1;1.5;1;0.5;8;6;Caved
PAB;2100;12;FootWall;90;30;30;35;8.1;4.7;1;0.8;8;30.1;Unstable
PAB;2100;18;Back;90;30;18;60;6.9;71.3;1;1;1;71.3;Stable
PAB;2100;18;VerticalEnd;90;30;18;30;5.6;71.3;1;1;8;570;Stable
PAB;2100;18;HangingWall;90;30;30.5;60;10.1;8.1;1;0.5;8;32.5;Unstable
PAB;2100;18;FootWall;90;30;30.5;60;10.1;4.7;1;0.8;8;30.1;Unstable
PAB;2100;17;Back;90;30;17;60;6.6;71.3;1;1;1;71.3;Stable
PAB;2100;17;VerticalEnd;90;30;17;30;5.4;71.3;1;1;8;570;Stable
PAB;2100;17;HangingWall;90;30;31;60;10.2;8;1;0.5;8;32;Unstable
PAB;2100;17;FootWall;90;30;31;60;10.2;4.5;1;0.8;8;28.8;Unstable
PAB;2100;18;Back;90;30;18;60;6.9;71.2;1;1;1;71.2;Stable
PAB;2100;18;VerticalEnd;90;30;18;30;5.6;71.2;1;1;8;569.6;Stable
PAB;2100;18;HangingWall;90;30;33;60;10.6;7.9;1;0.5;8;31.6;Unstable
PAB;2100;18;FootWall;90;30;33;60;10.6;4.7;1;0.8;8;30.1;Stable
PAB;2125;17;Back;90;30;17;65;6.7;71.3;1;1;1;71.3;Stable
PAB;2125;17;VerticalEnd;90;30;17;30;5.4;71.3;0.8;1;8;437.7;Unstable
PAB;2125;17;HangingWall;90;30;30.5;65;10.4;6;1;0.8;6.8;32.6;Unstable
PAB;2125;17;FootWall;90;30;30.5;65;10.4;13;1;0.5;8;52;Stable
PAB;2125;6.6;Back;90;30;6.6;52;2.9;3;1;1;1;3;Stable
PAB;2125;6.6;VerticalEnd;90;30;6.6;30;2.7;3;1;1;8;24;Stable
PAB;2125;6.6;HangingWall;78;30;30;52;9.5;6;0.5;0.5;6.8;10.2;Stable
PAB;2125;6.6;FootWall;90;30;30;52;9.5;13;0.5;0.5;8;26;Stable
PAB;2150;8.1;Back;90;30;8.1;52;3.5;4.7;1;1;8;37.6;Stable
PAB;2150;8.1;VerticalEnd;90;30;8.1;30;3.2;4.7;1;1;8;37.6;Stable
PAB;2150;8.1;HangingWall;90;30;30;52;9.5;2.7;1;0.5;8;10.8;Caved
PAB;2150;8.1;FootWall;90;30;30;52;9.5;4.7;1;0.8;8;30.1;Unstable
PAB;2150;13;Back;90;30;13;50;5.2;4.7;1;1;1;4.7;Unstable
PAB;2150;13;VerticalEnd;90;30;13;30;4.5;8.3;1;1;8;66.4;Stable
PAB;2150;13;HangingWall;90;30;30;50;9.4;0.1;1;0.5;8;0.4;Caved
PAB;2150;13;FootWall;90;30;30;50;9.4;4.7;1;0.8;8;30.1;Unstable
PAB;2150;13;Back;90;30;13;50;5.2;4.7;1;1;1;4.7;Unstable
PAB;2150;13;VerticalEnd;90;30;13;30;4.5;8.3;1;1;8;66.4;Stable
PAB;2150;13;HangingWall;90;30;30;50;9.4;0.1;1;0.5;8;0.4;Caved
PAB;2150;13;FootWall;90;30;30;50;9.4;4.7;1;0.8;8;30.1;Unstable
PAB;2200;15;Back;90;107;15;60;6;2.7;1;1;8;21.6;Stable
PAB;2200;15;VerticalEnd;90;107;15;105;6.6;2.7;1;1;8;21.6;Stable
PAB;2200;15;HangingWall;90;107;107;60;19.2;8.3;1;0.5;8;33.2;Caved
PAB;2200;15;FootWall;90;107;107;60;19.2;4.7;1;0.8;8;30.1;Caved
PAB;2175;7.1;Back;90;30;7.1;65;3.2;2.7;1;1;1;2.7;Unstable
PAB;2175;7.1;VerticalEnd;90;30;7.1;30;2.9;2.7;1;1;8;21.6;Stable
PAB;2175;7.1;HangingWall;90;30;30;65;10.3;1.5;1;0.5;8;6;Unstable
PAB;2175;7.1;FootWall;90;30;30;65;10.3;4.7;1;0.8;8;30.1;Caved
PAB;2175;9.2;Back;90;30;9.2;55;3.9;8.3;1;1;1;8.3;Stable
PAB;2175;9.2;VerticalEnd;90;30;9.2;30;3.5;8.3;1;1;8;66.4;Stable
